Q 3
alfa 0.005
b 0.25
N 1000
maxNrIterations 10000
updateAsynch 1
dimX 100
yMin 0
yMax 1
dimY 10
data_begin
0 1.01976 100 1.01976 200 1.01976 300 1.01976 400 1.01976 500 1.01976 600 1.01976 700 1.01976 800 1.01976 900 1.01976 1000 1.01976 1100 1.01976 1200 1.01976 1300 1.01976 1400 1.01976 1500 1.01976 1600 1.01976 1700 1.01976 1800 1.01976 1900 1.01976 2000 1.01976 2100 1.01976 2200 1.01976 2300 1.01976 2400 1.01976 2500 1.01976 2600 1.01976 2700 1.01976 2800 1.01976 2900 1.01976 3000 1.01976 3100 1.01976 3200 1.01976 3300 1.01976 3400 1.01976 3500 1.01976 3600 1.01976 3700 1.01976 3800 1.01976 3900 1.01976 4000 1.01976 4100 1.01976 4200 1.01976 4300 1.01976 4400 1.01976 4500 1.01976 4600 1.01976 4700 1.01976 4800 1.01976 4900 1.01976 5000 1.01976 5100 1.01976 5200 1.01976 5300 1.01976 5400 1.01976 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.846505 100 0.858663 200 0.879939 300 0.892097 400 0.913374 500 0.928571 600 0.928571 700 0.93769 800 0.93769 900 0.940729 1000 0.949848 1100 0.962006 1200 0.965046 1300 0.968085 1400 0.974164 1500 0.983283 1600 0.983283 1700 0.983283 1800 0.986322 1900 0.992401 2000 0.992401 2100 0.995441 2200 0.995441 2300 0.99848 2400 0.99848 2500 1.00152 2600 1.00456 2700 1.0076 2800 1.0076 2900 1.0076 3000 1.0076 3100 1.01064 3200 1.01064 3300 1.01064 3400 1.01368 3500 1.01672 3600 1.01672 3700 1.01672 3800 1.01672 3900 1.01976 4000 1.01976 4100 1.01976 4200 1.01976 4300 1.01976 4400 1.01976 4500 1.01976 4600 1.01976 4700 1.01976 4800 1.01976 4900 1.01976 5000 1.01976 5100 1.01976 5200 1.01976 5300 1.01976 5400 1.01976 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.682371 100 0.706687 200 0.740122 300 0.767477 400 0.788754 500 0.803951 600 0.81307 700 0.831307 800 0.843465 900 0.852584 1000 0.87386 1100 0.886018 1200 0.895137 1300 0.904255 1400 0.913374 1500 0.925532 1600 0.93465 1700 0.93769 1800 0.946809 1900 0.952888 2000 0.958967 2100 0.968085 2200 0.971125 2300 0.971125 2400 0.980243 2500 0.980243 2600 0.983283 2700 0.986322 2800 0.992401 2900 0.995441 3000 0.995441 3100 0.995441 3200 0.99848 3300 1.00152 3400 1.00152 3500 1.00152 3600 1.00456 3700 1.00456 3800 1.0076 3900 1.0076 4000 1.0076 4100 1.0076 4200 1.0076 4300 1.0076 4400 1.01064 4500 1.01064 4600 1.01064 4700 1.01064 4800 1.01368 4900 1.01672 5000 1.01672 5100 1.01672 5200 1.01672 5300 1.01672 5400 1.01672 5500 1.01672 5600 1.01672 5700 1.01672 5800 1.01672 5900 1.01672 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.533435 100 0.591185 200 0.62766 300 0.648936 400 0.679331 500 0.721884 600 0.758359 700 0.794833 800 0.816109 900 0.846505 1000 0.861702 1100 0.870821 1200 0.882979 1300 0.892097 1400 0.913374 1500 0.919453 1600 0.928571 1700 0.931611 1800 0.943769 1900 0.949848 2000 0.958967 2100 0.958967 2200 0.962006 2300 0.974164 2400 0.980243 2500 0.986322 2600 0.986322 2700 0.992401 2800 0.992401 2900 0.995441 3000 0.995441 3100 0.99848 3200 0.99848 3300 1.00152 3400 1.00152 3500 1.00152 3600 1.00152 3700 1.00456 3800 1.0076 3900 1.0076 4000 1.01064 4100 1.01064 4200 1.01368 4300 1.01672 4400 1.01672 4500 1.01976 4600 1.01976 4700 1.01976 4800 1.01976 4900 1.01976 5000 1.01976 5100 1.01976 5200 1.01976 5300 1.01976 5400 1.01976 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.445289 100 0.506079 200 0.539514 300 0.579027 400 0.639818 500 0.682371 600 0.731003 700 0.746201 800 0.770517 900 0.797872 1000 0.822188 1100 0.834347 1200 0.846505 1300 0.864742 1400 0.87386 1500 0.886018 1600 0.904255 1700 0.910334 1800 0.922492 1900 0.940729 2000 0.943769 2100 0.949848 2200 0.952888 2300 0.955927 2400 0.955927 2500 0.965046 2600 0.968085 2700 0.974164 2800 0.983283 2900 0.983283 3000 0.989362 3100 0.99848 3200 0.99848 3300 0.99848 3400 0.99848 3500 0.99848 3600 1.00152 3700 1.00456 3800 1.0076 3900 1.0076 4000 1.0076 4100 1.0076 4200 1.01064 4300 1.01064 4400 1.01064 4500 1.01064 4600 1.01368 4700 1.01368 4800 1.01672 4900 1.01672 5000 1.01672 5100 1.01976 5200 1.01976 5300 1.01976 5400 1.01976 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.357143 100 0.411854 200 0.475684 300 0.548632 400 0.591185 500 0.633739 600 0.694529 700 0.712766 800 0.731003 900 0.755319 1000 0.776596 1100 0.788754 1200 0.800912 1300 0.828267 1400 0.846505 1500 0.861702 1600 0.870821 1700 0.870821 1800 0.8769 1900 0.886018 2000 0.901216 2100 0.922492 2200 0.931611 2300 0.940729 2400 0.946809 2500 0.952888 2600 0.952888 2700 0.958967 2800 0.965046 2900 0.971125 3000 0.977204 3100 0.980243 3200 0.992401 3300 0.995441 3400 0.99848 3500 1.00152 3600 1.00456 3700 1.00456 3800 1.0076 3900 1.01064 4000 1.01368 4100 1.01672 4200 1.01672 4300 1.01672 4400 1.01672 4500 1.01672 4600 1.01976 4700 1.01976 4800 1.01976 4900 1.01976 5000 1.01976 5100 1.01976 5200 1.01976 5300 1.01976 5400 1.01976 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.335866 100 0.396657 200 0.457447 300 0.521277 400 0.557751 500 0.609422 600 0.642857 700 0.676292 800 0.709726 900 0.734043 1000 0.776596 1100 0.800912 1200 0.822188 1300 0.849544 1400 0.858663 1500 0.8769 1600 0.882979 1700 0.889058 1800 0.895137 1900 0.907295 2000 0.922492 2100 0.928571 2200 0.93769 2300 0.946809 2400 0.949848 2500 0.952888 2600 0.952888 2700 0.955927 2800 0.958967 2900 0.968085 3000 0.971125 3100 0.977204 3200 0.977204 3300 0.983283 3400 0.986322 3500 0.986322 3600 0.986322 3700 0.992401 3800 0.995441 3900 0.995441 4000 0.99848 4100 0.99848 4200 1.00152 4300 1.00456 4400 1.0076 4500 1.0076 4600 1.0076 4700 1.0076 4800 1.0076 4900 1.0076 5000 1.0076 5100 1.0076 5200 1.0076 5300 1.0076 5400 1.01064 5500 1.01064 5600 1.01672 5700 1.01672 5800 1.01672 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.218845 100 0.235562 200 0.241641 300 0.275076 400 0.31307 500 0.357143 600 0.424012 700 0.458967 800 0.49696 900 0.545593 1000 0.585106 1100 0.62614 1200 0.659574 1300 0.68845 1400 0.703647 1500 0.734043 1600 0.756839 1700 0.773556 1800 0.790274 1900 0.806991 2000 0.826748 2100 0.844985 2200 0.861702 2300 0.879939 2400 0.895137 2500 0.901216 2600 0.917933 2700 0.922492 2800 0.927052 2900 0.93617 3000 0.93769 3100 0.946809 3200 0.955927 3300 0.963526 3400 0.969605 3500 0.972644 3600 0.984802 3700 0.987842 3800 0.987842 3900 0.989362 4000 0.99696 4100 1.00152 4200 1.00304 4300 1.00304 4400 1.00304 4500 1.00304 4600 1.00608 4700 1.00912 4800 1.01064 4900 1.01064 5000 1.01064 5100 1.01368 5200 1.01368 5300 1.0152 5400 1.0152 5500 1.0152 5600 1.0152 5700 1.0152 5800 1.0152 5900 1.0152 6000 1.0152 6100 1.0152 6200 1.0152 6300 1.0152 6400 1.0152 6500 1.0152 6600 1.0152 6700 1.0152 6800 1.0152 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.265957 100 0.296353 200 0.329787 300 0.361702 400 0.378419 500 0.416413 600 0.445289 700 0.495441 800 0.548632 900 0.585106 1000 0.62766 1100 0.673252 1200 0.711246 1300 0.759878 1400 0.781155 1500 0.806991 1600 0.826748 1700 0.849544 1800 0.855623 1900 0.864742 2000 0.887538 2100 0.901216 2200 0.910334 2300 0.920973 2400 0.930091 2500 0.93465 2600 0.940729 2700 0.958967 2800 0.962006 2900 0.966565 3000 0.974164 3100 0.980243 3200 0.981763 3300 0.986322 3400 0.987842 3500 0.987842 3600 0.987842 3700 0.989362 3800 0.992401 3900 0.99696 4000 1 4100 1.00152 4200 1.00152 4300 1.00304 4400 1.00304 4500 1.00608 4600 1.01216 4700 1.01368 4800 1.01368 4900 1.01368 5000 1.0152 5100 1.0152 5200 1.01672 5300 1.01672 5400 1.01672 5500 1.01976 5600 1.01976 5700 1.01976 5800 1.01976 5900 1.01976 6000 1.01976 6100 1.01976 6200 1.01976 6300 1.01976 6400 1.01976 6500 1.01976 6600 1.01976 6700 1.01976 6800 1.01976 6900 1.01976 7000 1.01976 7100 1.01976 7200 1.01976 7300 1.01976 7400 1.01976 7500 1.01976 7600 1.01976 7700 1.01976 7800 1.01976 7900 1.01976 8000 1.01976 8100 1.01976 8200 1.01976 8300 1.01976 8400 1.01976 8500 1.01976 8600 1.01976 8700 1.01976 8800 1.01976 8900 1.01976 9000 1.01976 9100 1.01976 9200 1.01976 9300 1.01976 9400 1.01976 9500 1.01976 9600 1.01976 9700 1.01976 9800 1.01976 9900 1.01976 
0 0.164134 100 0.148936 200 0.133739 300 0.109422 400 0.0987842 500 0.0896657 600 0.0957447 700 0.0911854 800 0.0820669 900 0.0668693 1000 0.06231 1100 0.0547112 1200 0.0516717 1300 0.0410334 1400 0.0395137 1500 0.0258359 1600 0.0151976 1700 0.00911854 1800 0.0106383 1900 0.00303951 2000 0 2100 0.00151976 2200 0.00303951 2300 0.00303951 2400 0.00455927 2500 0.00455927 2600 0.00759878 2700 0.00759878 2800 0.00607903 2900 0.0106383 3000 0.0106383 3100 0.00455927 3200 0.00455927 3300 0.00455927 3400 0.00151976 3500 -0.00151976 3600 0 3700 0.00151976 3800 0.00151976 3900 0.00151976 4000 0.00303951 4100 0.00151976 4200 0 4300 0 4400 0.00151976 4500 0 4600 -0.00151976 4700 -0.00151976 4800 -0.00151976 4900 -0.00303951 5000 -0.00303951 5100 -0.00151976 5200 -0.00151976 5300 -0.00151976 5400 -0.00151976 5500 -0.00151976 5600 0 5700 0 5800 0 5900 0 6000 0 6100 0 6200 0 6300 0 6400 0 6500 0 6600 0 6700 0 6800 0 6900 0 7000 0 7100 0 7200 0 7300 0 7400 0 7500 0 7600 0.00151976 7700 0.00151976 7800 0 7900 0 8000 0 8100 0 8200 0 8300 0 8400 0 8500 0 8600 0 8700 0 8800 0 8900 0 9000 0 9100 0 9200 0 9300 0 9400 0 9500 0 9600 0 9700 0 9800 0 9900 0 
0 0.158055 100 0.139818 200 0.142857 300 0.142857 400 0.12614 500 0.107903 600 0.100304 700 0.0775076 800 0.0835866 900 0.0759878 1000 0.0638298 1100 0.0607903 1200 0.0592705 1300 0.0577508 1400 0.0440729 1500 0.0395137 1600 0.0334347 1700 0.0273556 1800 0.0212766 1900 0.0258359 2000 0.0151976 2100 0.00607903 2200 0.00455927 2300 0.00455927 2400 0.00607903 2500 0.00607903 2600 0.00759878 2700 0.00607903 2800 0.00607903 2900 0.00607903 3000 0.00607903 3100 0.00759878 3200 0.00911854 3300 0.00607903 3400 0.00607903 3500 0.00455927 3600 0.00607903 3700 0.00455927 3800 0.00303951 3900 0.00303951 4000 0.00455927 4100 0.00303951 4200 0.00455927 4300 0.00303951 4400 0.00455927 4500 0.00455927 4600 0.00455927 4700 0.00303951 4800 0.00303951 4900 0.00303951 5000 0.00303951 5100 0.00303951 5200 0.00303951 5300 0.00303951 5400 0.00303951 5500 0.00151976 5600 0.00151976 5700 0.00151976 5800 0.00151976 5900 0.00151976 6000 0.00151976 6100 0.00151976 6200 0.00151976 6300 0.00151976 6400 0.00151976 6500 0.00151976 6600 0.00151976 6700 0.00151976 6800 0.00151976 6900 0.00151976 7000 0.00151976 7100 0.00151976 7200 0 7300 0 7400 0 7500 0 7600 0 7700 0 7800 0 7900 0 8000 0 8100 0 8200 0 8300 0 8400 0 8500 0 8600 0 8700 0 8800 0 8900 0 9000 0 9100 0 9200 0 9300 0 9400 0 9500 0 9600 0 9700 0 9800 0 9900 0 
